DATE,us_gdp
1947-01-01,243.164
1947-02-01,243.164
1947-03-01,243.164
1947-04-01,245.968
1947-05-01,245.968
1947-06-01,245.968
1947-07-01,249.585
1947-08-01,249.585
1947-09-01,249.585
1947-10-01,259.745
1947-11-01,259.745
1947-12-01,259.745
1948-01-01,265.742
1948-02-01,265.742
1948-03-01,265.742
1948-04-01,272.567
1948-05-01,272.567
1948-06-01,272.567
1948-07-01,279.196
1948-08-01,279.196
1948-09-01,279.196
1948-10-01,280.366
1948-11-01,280.366
1948-12-01,280.366
1949-01-01,275.034
1949-02-01,275.034
1949-03-01,275.034
1949-04-01,271.351
1949-05-01,271.351
1949-06-01,271.351
1949-07-01,272.889
1949-08-01,272.889
1949-09-01,272.889
1949-10-01,270.627
1949-11-01,270.627
1949-12-01,270.627
1950-01-01,280.828
1950-02-01,280.828
1950-03-01,280.828
1950-04-01,290.383
1950-05-01,290.383
1950-06-01,290.383
1950-07-01,308.153
1950-08-01,308.153
1950-09-01,308.153
1950-10-01,319.945
1950-11-01,319.945
1950-12-01,319.945
1951-01-01,336.0
1951-02-01,336.0
1951-03-01,336.0
1951-04-01,344.09
1951-05-01,344.09
1951-06-01,344.09
1951-07-01,351.385
1951-08-01,351.385
1951-09-01,351.385
1951-10-01,356.178
1951-11-01,356.178
1951-12-01,356.178
1952-01-01,359.82
1952-02-01,359.82
1952-03-01,359.82
1952-04-01,361.03
1952-05-01,361.03
1952-06-01,361.03
1952-07-01,367.701
1952-08-01,367.701
1952-09-01,367.701
1952-10-01,380.812
1952-11-01,380.812
1952-12-01,380.812
1953-01-01,387.98
1953-02-01,387.98
1953-03-01,387.98
1953-04-01,391.749
1953-05-01,391.749
1953-06-01,391.749
1953-07-01,391.171
1953-08-01,391.171
1953-09-01,391.171
1953-10-01,385.97
1953-11-01,385.97
1953-12-01,385.97
1954-01-01,385.345
1954-02-01,385.345
1954-03-01,385.345
1954-04-01,386.121
1954-05-01,386.121
1954-06-01,386.121
1954-07-01,390.996
1954-08-01,390.996
1954-09-01,390.996
1954-10-01,399.734
1954-11-01,399.734
1954-12-01,399.734
1955-01-01,413.073
1955-02-01,413.073
1955-03-01,413.073
1955-04-01,421.532
1955-05-01,421.532
1955-06-01,421.532
1955-07-01,430.221
1955-08-01,430.221
1955-09-01,430.221
1955-10-01,437.092
1955-11-01,437.092
1955-12-01,437.092
1956-01-01,439.746
1956-02-01,439.746
1956-03-01,439.746
1956-04-01,446.01
1956-05-01,446.01
1956-06-01,446.01
1956-07-01,451.191
1956-08-01,451.191
1956-09-01,451.191
1956-10-01,460.463
1956-11-01,460.463
1956-12-01,460.463
1957-01-01,469.779
1957-02-01,469.779
1957-03-01,469.779
1957-04-01,472.025
1957-05-01,472.025
1957-06-01,472.025
1957-07-01,479.49
1957-08-01,479.49
1957-09-01,479.49
1957-10-01,474.864
1957-11-01,474.864
1957-12-01,474.864
1958-01-01,467.54
1958-02-01,467.54
1958-03-01,467.54
1958-04-01,471.978
1958-05-01,471.978
1958-06-01,471.978
1958-07-01,485.841
1958-08-01,485.841
1958-09-01,485.841
1958-10-01,499.555
1958-11-01,499.555
1958-12-01,499.555
1959-01-01,510.33
1959-02-01,510.33
1959-03-01,510.33
1959-04-01,522.653
1959-05-01,522.653
1959-06-01,522.653
1959-07-01,525.034
1959-08-01,525.034
1959-09-01,525.034
1959-10-01,528.6
1959-11-01,528.6
1959-12-01,528.6
1960-01-01,542.648
1960-02-01,542.648
1960-03-01,542.648
1960-04-01,541.08
1960-05-01,541.08
1960-06-01,541.08
1960-07-01,545.604
1960-08-01,545.604
1960-09-01,545.604
1960-10-01,540.197
1960-11-01,540.197
1960-12-01,540.197
1961-01-01,545.018
1961-02-01,545.018
1961-03-01,545.018
1961-04-01,555.545
1961-05-01,555.545
1961-06-01,555.545
1961-07-01,567.664
1961-08-01,567.664
1961-09-01,567.664
1961-10-01,580.612
1961-11-01,580.612
1961-12-01,580.612
1962-01-01,594.013
1962-02-01,594.013
