類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),735
ウエイト(Weight),2686407772
ウエイト１万分比(Weight per 10000),8420
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,2.7
194609,2.5
194610,2.3
194611,2.3
194612,2.6
194701,2.9
194702,3.3
194703,3.6
194704,3.8
194705,4.5
194706,5.2
194707,6.2
194708,6.5
194709,7.0
194710,6.7
194711,6.7
194712,7.3
194801,7.3
194802,7.9
194803,8.4
194804,8.6
194805,9.0
194806,9.1
194807,10.1
194808,11.2
194809,11.2
194810,10.7
194811,11.2
194812,11.8
194901,12.3
194902,12.6
194903,13.0
194904,13.1
194905,13.3
194906,12.8
194907,13.1
194908,13.1
194909,13.0
194910,12.7
194911,12.2
194912,12.4
195001,12.6
195002,12.1
195003,11.8
195004,11.6
195005,11.7
195006,11.5
195007,11.8
195008,12.1
195009,12.1
195010,11.7
195011,11.8
195012,12.3
195101,13.0
195102,13.5
195103,13.9
195104,13.9
195105,13.9
195106,13.8
195107,13.8
195108,14.4
195109,14.5
195110,14.7
195111,14.7
195112,14.7
195201,14.8
195202,14.7
195203,14.7
195204,14.8
195205,14.6
195206,14.7
195207,14.9
195208,14.9
195209,14.9
195210,14.9
195211,14.8
195212,14.7
195301,15.0
195302,15.3
195303,15.3
195304,15.4
195305,15.3
195306,15.5
195307,15.8
195308,16.0
195309,16.0
195310,16.5
195311,16.3
195312,16.3
195401,16.6
195402,16.7
195403,16.7
195404,16.8
195405,16.6
195406,16.8
195407,16.9
195408,16.9
195409,16.8
195410,17.0
195411,16.6
195412,16.6
195501,16.7
195502,16.7
195503,16.6
195504,16.7
195505,16.6
195506,16.6
195507,16.5
195508,16.6
195509,16.7
195510,16.7
195511,16.4
195512,16.3
195601,16.4
195602,16.6
195603,16.6
195604,16.6
195605,16.6
195606,16.8
195607,16.6
195608,16.6
195609,16.7
195610,16.8
195611,16.6
195612,16.7
195701,16.9
195702,16.9
195703,16.9
195704,17.1
195705,17.2
195706,17.1
195707,17.3
195708,17.4
195709,17.3
195710,17.3
195711,17.1
195712,17.1
195801,17.1
195802,16.9
195803,16.8
195804,16.9
195805,16.9
195806,17.1
195807,17.1
195808,17.2
195809,17.1
195810,17.3
195811,17.1
195812,17.1
195901,17.1
195902,17.1
195903,17.1
195904,17.2
195905,17.1
195906,17.2
195907,17.2
195908,17.4
195909,17.3
195910,17.5
195911,17.4
195912,17.4
196001,17.7
196002,17.7
196003,17.7
196004,17.7
196005,17.9
196006,17.8
196007,17.8
196008,17.9
196009,18.1
196010,18.2
196011,17.9
196012,18.1
196101,18.3
196102,18.4
196103,18.4
196104,18.5
196105,18.5
196106,18.5
196107,18.8
196108,18.9
196109,19.0
196110,19.4
196111,19.5
196112,19.7
196201,19.8
196202,19.7
196203,19.8
196204,20.0
196205,20.1
196206,20.0
196207,20.3
196208,20.3
196209,20.2
196210,20.3
